entityName,fieldName,label,type,nullable,length,precision,scale,temporalType,enumType,joinColumn,listDisplay,viewDisplay,editDisplay,dftValue,fakeData,fakeNullPercent,fakeLowValue,fakeHighValue,fakeStringType,fakeStringModifier
Category,name,Name,String,false,20,,,,,,sort,,edit,,true,,,,WORDS,CAPITALIZE
Category,description,Description,String,,255,,,,,,,,edit,,,,,,,
Category,parentCategory,Sub-category Of,Category,,,,,,,parent_category_id,sort,,edit,,,,,,,
Account,name,Name,String,false,50,,,,,,sort,,edit,,,,,,,
Account,type,Type,AccountType,false,,,,,STRING,,sort,,edit,,,,,,,
Account,defaultCategory,Default Category,Category,,,,,,,default_category_id,sort,,edit,,,,,,,
Account,active,Active,Boolean,false,,,,,,,sort,,edit,true,,,,,,
AccountNumber,account,Account,Account,false,,,,,,account_id,,,edit,,,,,,,
AccountNumber,number,Number,String,false,50,,,,,,sort,,edit,,,,,,,
AccountNumber,effectiveDate,Effective Date,Date,false,,,,DATE,,,sort,,edit,,,,,,,
Statement,account,Account,Account,false,,,,,,account_id,,,edit,,,,,,,
Statement,closeDate,Closing Date,Date,false,,,,DATE,,,sort,,edit,,,,,,,
Statement,closeBalance,New Balance,BigDecimal,,,9,2,,,,sort,,edit,,,,,,,
Statement,minPayment,Minimum Payment Due,BigDecimal,,,9,2,,,,sort,,edit,,,,,,,
Statement,dueDate,Payment Due Date,Date,,,,,DATE,,,sort,,edit,,,,,,,
Statement,openBalance,Previous Balance,BigDecimal,,,9,2,,,,,,edit,,,,,,,
Statement,credits,"Payments, Credits",BigDecimal,,,9,2,,,,,,edit,,,,,,,
Statement,debits,Purchases,BigDecimal,,,9,2,,,,,,edit,,,,,,,
Statement,fees,Fees Charged,BigDecimal,,,9,2,,,,,,edit,,,,,,,
Statement,interest,Interest Charged,BigDecimal,,,9,2,,,,,,edit,,,,,,,
Transaction,statement,Statement,Statement,false,,,,,,statement_id,,,edit,,,,,,,
Transaction,name,Name,String,false,100,,,,,,sort,,edit,,,,,,,
Transaction,memo,Memo,String,,100,,,,,,,,edit,,,,,,,
Transaction,postDate,Post Date,Date,false,,,,DATE,,,sort,,edit,,,,,,,
Transaction,amount,Amount,BigDecimal,false,,9,2,,,,sort,,edit,,,,,,,
Transaction,checkNumber,Check Number,String,,10,,,,,,sort,,edit,,,,,,,
Transaction,category,Category,Category,,,,,,,category_id,sort,,edit,,,,,,,
Transaction,transfer,Transfer,Transaction,,,,,,,transfer_id,,,edit,,,,,,,
Transaction,voided,Void,Boolean,false,,,,,,,sort,,edit,false,,,,,,
RecurringSchedule,cronString,Cron String,String,false,20,,,,,,sort,,edit,,,,,,,
RecurringSchedule,estimatedAmount,Estimated Amount,BigDecimal,false,,9,2,,,,sort,,edit,,,,,,,
RecurringSchedule,comment,Comment,String,,255,,,,,,sort,,edit,,,,,,,
RecurringSchedule,tentativeAccount,Tentative Account,Account,,,,,,,tentative_account_id,sort,,edit,,,,,,,
RecurringSchedule,tentativeCategory,Tentative Category,Category,,,,,,,tentative_category_id,sort,,edit,,,,,,,
Reminder,recurringSchedule,Recurring Schedule,RecurringSchedule,,,,,,,recurring_schedule_id,,,edit,,,,,,,
Reminder,estimatedDate,Estimated Date,Date,false,,,,DATE,,,sort,,edit,,,,,,,
Reminder,estimatedAmount,Estimated Amount,BigDecimal,false,,9,2,,,,sort,,edit,,,,,,,
Reminder,comment,Comment,String,,255,,,,,,sort,,edit,,,,,,,
Reminder,tentativeAccount,Tentative Account,Account,,,,,,,tentative_account_id,sort,,edit,,,,,,,
Reminder,tentativeCategory,Tentative Category,Category,,,,,,,tentative_category_id,sort,,edit,,,,,,,
Reminder,actualTransaction,Actual Transaction,Transaction,,,,,,,actual_transaction_id,,,edit,,,,,,,
Reminder,skipped,Skip,Boolean,false,,,,,,,sort,,edit,false,,,,,,
